label,year,doi,citation,pubmed_id,bib
GSE62116,2014,10.1016/j.juro.2013.06.017,"Karnes RJ, Bergstralh EJ, Davicioni E, et al.  Validation of a genomic classifier that predicts metastasis following radical  prostatectomy in an at risk patient population.  J Urol. 2013;190(6):2047-53.
","23770138, 26246306, 26631616","@article{Karnes_2013,
	doi = {10.1016/j.juro.2013.06.017},
	url = {https://doi.org/10.1016%2Fj.juro.2013.06.017},
	year = 2013,
	month = {dec},
	publisher = {Elsevier {BV}},
	volume = {190},
	number = {6},
	pages = {2047--2053},
	author = {R. Jeffrey Karnes and Eric J. Bergstralh and Elai Davicioni and Mercedeh Ghadessi and Christine Buerki and Anirban P. Mitra and Anamaria Crisan and Nicholas Erho and Ismael A. Vergara and Lucia L. Lam and Rachel Carlson and Darby J.S. Thompson and Zaid Haddad and Benedikt Zimmermann and Thomas Sierocinski and Timothy J. Triche and Thomas Kollmeyer and Karla V. Ballman and Peter C. Black and George G. Klee and Robert B. Jenkins},
	title = {Validation of a Genomic Classifier that Predicts Metastasis Following Radical Prostatectomy in an At Risk Patient Population},
	journal = {The Journal of Urology}
}"
GSE51066,2016,10.1038/pcan.2013.49,"Ross AE, Feng FY, Ghadessi M, et al.  A genomic classifier predicting metastatic disease progression in men with  biochemical recurrence after prostatectomy.  Prostate Cancer Prostatic Dis. 2014;17(1):64-9.
",24145624,"@article{Ross_2013,
	doi = {10.1038/pcan.2013.49},
	url = {https://doi.org/10.1038%2Fpcan.2013.49},
	year = 2013,
	month = {oct},
	publisher = {Springer Nature},
	volume = {17},
	number = {1},
	pages = {64--69},
	author = {A E Ross and F Y Feng and M Ghadessi and N Erho and A Crisan and C Buerki and D Sundi and A P Mitra and I A Vergara and D J S Thompson and T J Triche and E Davicioni and E J Bergstralh and R B Jenkins and R J Karnes and E M Schaeffer},
	title = {A genomic classifier predicting metastatic disease progression in men with biochemical recurrence after prostatectomy},
	journal = {Prostate Cancer and Prostatic Diseases}
}"
GSE26367,2011,10.1016/j.ajpath.2011.03.008,"Long Q, Johnson BA, Osunkoya AO, et al.  Protein-coding and microRNA biomarkers of recurrence of prostate cancer following radical prostatectomy.  Am J Pathol. 2011;179(1):46-54.
","NA","@article{Long_2011,
	doi = {10.1016/j.ajpath.2011.03.008},
	url = {https://doi.org/10.1016%2Fj.ajpath.2011.03.008},
	year = 2011,
	month = {jul},
	publisher = {Elsevier {BV}},
	volume = {179},
	number = {1},
	pages = {46--54},
	author = {Qi Long and Brent A. Johnson and Adeboye O. Osunkoya and Yu-Heng Lai and Wei Zhou and Mark Abramovitz and Mingjing Xia and Mark B. Bouzyk and Robert K. Nam and Linda Sugar and Aleksandra Stanimirovic and Daron J. Williams and Brian R. Leyland-Jones and Arun K. Seth and John A. Petros and Carlos S. Moreno},
	title = {Protein-Coding and {MicroRNA} Biomarkers of Recurrence of Prostate Cancer Following Radical Prostatectomy},
	journal = {The American Journal of Pathology}
}"
GSE70770,2015,10.1016/j.ebiom.2015.07.017,"Ross-Adams H, Lamb AD, Dunning MJ, et al.  Integration of copy number and transcriptomics provides risk stratification  in prostate cancer: A discovery and validation cohort study.  EBioMedicine. 2015;2(9):1133-44.
","26501111, 26950096","@article{Ross_Adams_2015,
	doi = {10.1016/j.ebiom.2015.07.017},
	url = {https://doi.org/10.1016%2Fj.ebiom.2015.07.017},
	year = 2015,
	month = {sep},
	publisher = {Elsevier {BV}},
	volume = {2},
	number = {9},
	pages = {1133--1144},
	author = {H. Ross-Adams and A.D. Lamb and M.J. Dunning and S. Halim and J. Lindberg and C.M. Massie and L.A. Egevad and R. Russell and A. Ramos-Montoya and S.L. Vowler and N.L. Sharma and J. Kay and H. Whitaker and J. Clark and R. Hurst and V.J. Gnanapragasam and N.C. Shah and A.Y. Warren and C.S. Cooper and A.G. Lynch and R. Stark and I.G. Mills and H. Grönberg and D.E. Neal},
	title = {Integration of copy number and transcriptomics provides risk stratification in prostate cancer: A discovery and validation cohort study},
	journal = {{EBioMedicine}}
}"
GSE40272,2012,10.1038/onc.2012.27,"Gulzar ZG, Mckenney JK, Brooks JD.  Increased expression of NuSAP in recurrent prostate cancer is mediated by E2F1.  Oncogene. 2013;32(1):70-7.
",22349817,"@article{Gulzar_2012,
	doi = {10.1038/onc.2012.27},
	url = {https://doi.org/10.1038%2Fonc.2012.27},
	year = 2012,
	month = {feb},
	publisher = {Springer Nature},
	volume = {32},
	number = {1},
	pages = {70--77},
	author = {Z G Gulzar and J K McKenney and J D Brooks},
	title = {Increased expression of {NuSAP} in recurrent prostate cancer is mediated by E2F1},
	journal = {Oncogene}
}"
GSE62872,2014,10.1158/1055-9965.EPI-14-0694-T,"Penney KL, Sinnott JA, Tyekucheva S, et al.  Association of prostate cancer risk variants with gene expression in normal and tumor tissue.  Cancer Epidemiol Biomarkers Prev. 2015;24(1):255-60.
",25371445,"@article{Penney_2014,
	doi = {10.1158/1055-9965.epi-14-0694-t},
	url = {https://doi.org/10.1158%2F1055-9965.epi-14-0694-t},
	year = 2014,
	month = {nov},
	publisher = {American Association for Cancer Research ({AACR})},
	volume = {24},
	number = {1},
	pages = {255--260},
	author = {K. L. Penney and J. A. Sinnott and S. Tyekucheva and T. Gerke and I. M. Shui and P. Kraft and H. D. Sesso and M. L. Freedman and M. Loda and L. A. Mucci and M. J. Stampfer},
	title = {Association of Prostate Cancer Risk Variants with Gene Expression in Normal and Tumor Tissue},
	journal = {Cancer Epidemiology Biomarkers {\&} Prevention}
}"
GSE79021,2017,10.1158/1078-0432.CCR-16-1245,"Sinnott JA, Peisch SF, Tyekucheva S, et al.  Prognostic Utility of a New mRNA Expression Signature of Gleason Score.  Clin Cancer Res. 2017;23(1):81-87.
",27663590,"@article{Sinnott_2016,
	doi = {10.1158/1078-0432.ccr-16-1245},
	url = {https://doi.org/10.1158%2F1078-0432.ccr-16-1245},
	year = 2016,
	month = {sep},
	publisher = {American Association for Cancer Research ({AACR})},
	volume = {23},
	number = {1},
	pages = {81--87},
	author = {Jennifer A. Sinnott and Sam F. Peisch and Svitlana Tyekucheva and Travis Gerke and Rosina Lis and Jennifer R. Rider and Michelangelo Fiorentino and Meir J. Stampfer and Lorelei A. Mucci and Massimo Loda and Kathryn L. Penney},
	title = {Prognostic Utility of a New {mRNA} Expression Signature of Gleason Score},
	journal = {Clinical Cancer Research}
}"
"expO, IGC 2005",NA,NA,"EXpression Project for Oncology, International Genomics Consortium, www.intgen.org","NA",NA
"Sun, Goodison 2009",NA,NA,"Sun Y, Goodison S. Optimizing molecular signatures for predicting prostate cancer recurrence. Prostate 2009 Jul 1;69(10):1119-27.",19343730,"@Article{sun2009optimizing,
  title = {Optimizing molecular signatures for predicting prostate cancer recurrence},
  author = {Yijun Sun and Steve Goodison},
  year = {2009},
  month = {Jul},
  journal = {The Prostate},
  volume = {69},
  number = {10},
  pages = {1119-27},
  eprint = {19343730},
  doi = {10.1002/pros.20961},
  language = {eng},
  issn = {1097-0045},
  abstract = {BACKGROUND: The derivation of molecular signatures indicative of disease status and predictive of subsequent behavior could facilitate the optimal choice of treatment for prostate cancer patients.
METHODS: In this study, we conducted a computational analysis of gene expression profile data obtained from 79 cases, 39 of which were classified as having disease recurrence, to investigate whether advanced computational algorithms can derive more accurate prognostic signatures for prostate cancer.
RESULTS: At the 90% sensitivity level, a newly derived prognostic genetic signature achieved 85% specificity. This is the first reported genetic signature to outperform a clinically used postoperative nomogram. Furthermore, a hybrid prognostic signature derived by combination of the nomogram and gene expression data significantly outperformed both genetic and clinical signatures, and achieved a specificity of 95%.
CONCLUSIONS: Our study demonstrates the feasibility of utilizing gene expression information for highly accurate prostate cancer prognosis beyond the current clinical systems, and shows that more advanced computational modeling of tissue-derived microarray data is warranted before clinical application of molecular signatures is considered.},
  eprinttype = {pubmed},
}"
"Taylor, Gerald 2010",NA,NA,"Taylor BS, Schultz N, Hieronymus H, Gopalan A et al. Integrative genomic profiling of human prostate cancer. Cancer Cell 2010 Jul 13;18(1):11-22.",20579941,"@Article{taylor2010integrative,
  title = {Integrative genomic profiling of human prostate cancer},
  author = {Barry S Taylor and Nikolaus Schultz and Haley Hieronymus and Anuradha Gopalan and Yonghong Xiao and Brett S Carver and Vivek K Arora and Poorvi Kaushik and Ethan Cerami and Boris Reva and Yevgeniy Antipin and Nicholas Mitsiades and Thomas Landers and Igor Dolgalev and John E Major and Manda Wilson and Nicholas D Socci and Alex E Lash and Adriana Heguy and James A Eastham and Howard I Scher and Victor E Reuter and Peter T Scardino and Chris Sander and Charles L Sawyers and William L Gerald},
  year = {2010},
  month = {Jul},
  journal = {Cancer cell},
  volume = {18},
  number = {1},
  pages = {11-22},
  eprint = {20579941},
  doi = {10.1016/j.ccr.2010.05.026},
  language = {eng},
  issn = {1878-3686},
  abstract = {Annotation of prostate cancer genomes provides a foundation for discoveries that can impact disease understanding and treatment. Concordant assessment of DNA copy number, mRNA expression, and focused exon resequencing in 218 prostate cancer tumors identified the nuclear receptor coactivator NCOA2 as an oncogene in approximately 11% of tumors. Additionally, the androgen-driven TMPRSS2-ERG fusion was associated with a previously unrecognized, prostate-specific deletion at chromosome 3p14 that implicates FOXP1, RYBP, and SHQ1 as potential cooperative tumor suppressors. DNA copy-number data from primary tumors revealed that copy-number alterations robustly define clusters of low- and high-risk disease beyond that achieved by Gleason score. The genomic and clinical outcome data from these patients are now made available as a public resource.},
  eprinttype = {pubmed},
}"
